collection_url,image_url,image_alt,image_name,image_path,image_size,image_width,image_height,image_format,image_mode,designer,ready_to_wear,menswear,womenswear,season,year,location
https://door11.com/fay-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Fay-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-001.jpg,,Fay-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-001.jpg,fay-ready-to-wear-spring-summer-2015-milan-2/Fay-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-001.jpg,338318,1706,2560,JPEG,RGB,Fay,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/vivienne-westwood-menswear-spring-summer-2015-milan/,https://media.door11.com/wp-content/uploads/2022/07/Vivienne-Westwood-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-007.jpg,,Vivienne-Westwood-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-007.jpg,vivienne-westwood-menswear-spring-summer-2015-milan/Vivienne-Westwood-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-007.jpg,297847,1706,2560,JPEG,RGB,Vivienne-Westwood,0,1,0,Spring-Summer,2015.0,Milan
https://door11.com/bottega-veneta-menswear-spring-summer-2015-milan/,https://media.door11.com/wp-content/uploads/2022/07/Bottega-Veneta-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-014.jpg,,Bottega-Veneta-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-014.jpg,bottega-veneta-menswear-spring-summer-2015-milan/Bottega-Veneta-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-014.jpg,303282,1706,2560,JPEG,RGB,Bottega-Veneta,0,1,0,Spring-Summer,2015.0,Milan
https://door11.com/aigner-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Aigner-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-002.jpg,,Aigner-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-002.jpg,aigner-ready-to-wear-spring-summer-2015-milan-2/Aigner-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-002.jpg,305282,1706,2560,JPEG,RGB,Aigner,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/aigner-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Aigner-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-020.jpg,,Aigner-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-020.jpg,aigner-ready-to-wear-spring-summer-2015-milan-2/Aigner-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-020.jpg,322620,1706,2560,JPEG,RGB,Aigner,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/massimo-rebecchi-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Massimo-Rebecchi-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-004.jpg,,Massimo-Rebecchi-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-004.jpg,massimo-rebecchi-ready-to-wear-spring-summer-2015-milan-2/Massimo-Rebecchi-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-004.jpg,474945,1706,2560,JPEG,RGB,Massimo-Rebecchi,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/canali-menswear-spring-summer-2015-milan/,https://media.door11.com/wp-content/uploads/2022/07/Canali-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-005.jpg,,Canali-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-005.jpg,canali-menswear-spring-summer-2015-milan/Canali-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-005.jpg,514270,1707,2560,JPEG,RGB,Canali,0,1,0,Spring-Summer,2015.0,Milan
https://door11.com/daks-menswear-spring-summer-2015-milan/,https://media.door11.com/wp-content/uploads/2022/07/Daks-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-008.jpg,,Daks-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-008.jpg,daks-menswear-spring-summer-2015-milan/Daks-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-008.jpg,277667,1706,2560,JPEG,RGB,Daks,0,1,0,Spring-Summer,2015.0,Milan
https://door11.com/salvatore-ferragamo-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Salvatore-Ferragamo-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-013.jpg,,Salvatore-Ferragamo-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-013.jpg,salvatore-ferragamo-ready-to-wear-spring-summer-2015-milan-2/Salvatore-Ferragamo-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-013.jpg,461566,1706,2560,JPEG,RGB,Salvatore-Ferragamo,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/gucci-menswear-spring-summer-2015-milan/,https://media.door11.com/wp-content/uploads/2022/07/Gucci-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-009.jpg,,Gucci-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-009.jpg,gucci-menswear-spring-summer-2015-milan/Gucci-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-009.jpg,201593,1707,2560,JPEG,RGB,Gucci,0,1,0,Spring-Summer,2015.0,Milan
